,Місто,Кімнат,Загальна_площа,Ціна
0,Вінниця,3,120.0,1875000.0
1,Вінниця,3,66.0,975000.0
2,Вінниця,2,66.0,1375000.0
3,Вінниця,2,44.0,637500.0
4,Вінниця,3,63.0,835000.0
5,Вінниця,1,31.0,562500.0
6,Вінниця,3,46.0,1150000.0
7,Вінниця,3,64.0,800000.0
8,Вінниця,1,35.0,424975.0
9,Вінниця,6,200.0,12500.0
10,Вінниця,2,46.0,500000.0
11,Вінниця,1,50.0,999975.0
12,Вінниця,1,38.0,512500.0
13,Вінниця,2,68.0,1000000.0
14,Вінниця,3,98.0,2575000.0
15,Вінниця,3,123.0,3075000.0
16,Вінниця,3,90.0,3775000.0
17,Вінниця,2,62.0,1050000.0
18,Вінниця,1,46.0,811250.0
19,Вінниця,1,50.0,975000.0
20,Вінниця,2,43.0,549975.0
21,Вінниця,4,62.0,775000.0
22,Вінниця,1,42.99,550000.0
23,Вінниця,2,50.0,712500.0
24,Вінниця,2,44.0,550000.0
25,Вінниця,4,61.0,925000.0
26,Вінниця,3,67.0,1000000.0
27,Вінниця,2,65.0,975000.0
28,Вінниця,2,45.0,672500.0
29,Вінниця,1,32.0,435000.0
30,Вінниця,2,63.0,1375000.0
31,Вінниця,1,36.0,550000.0
32,Вінниця,1,38.0,512500.0
33,Вінниця,2,52.0,612500.0
34,Вінниця,1,52.0,750000.0
35,Вінниця,2,70.0,1299975.0
36,Вінниця,1,45.5,11500.0
37,Вінниця,1,34.0,462500.0
38,Вінниця,3,56.0,649975.0
39,Вінниця,1,36.3,625000.0
40,Вінниця,2,87.5,1175000.0
41,Вінниця,4,80.0,1399975.0
42,Вінниця,1,52.0,524750.0
43,Вінниця,1,42.0,625000.0
44,Вінниця,1,47.2,565000.0
45,Вінниця,2,60.0,1350000.0
46,Вінниця,1,48.0,470000.0
47,Вінниця,2,64.0,598000.0
48,Вінниця,3,95.0,936000.0
49,Вінниця,2,30.0,712500.0
50,Вінниця,1,50.28,492744.0
51,Вінниця,1,41.0,562500.0
52,Вінниця,2,45.0,637500.0
53,Вінниця,1,43.0,850000.0
54,Вінниця,1,36.0,450000.0
55,Вінниця,2,80.55,789390.0
56,Вінниця,1,48.0,470000.0
57,Вінниця,1,40.0,747500.0
58,Вінниця,2,83.0,997500.0
59,Вінниця,2,44.0,674975.0
60,Вінниця,2,53.0,899975.0
61,Вінниця,1,38.0,475000.0
62,Вінниця,3,100.0,12500.0
63,Вінниця,3,64.0,937500.0
64,Вінниця,2,48.0,672500.0
65,Вінниця,3,60.0,1125000.0
66,Вінниця,2,62.0,577000.0
67,Вінниця,3,72.6,975000.0
68,Вінниця,2,63.2,1225000.0
69,Вінниця,2,82.3,1125000.0
70,Вінниця,2,50.0,747500.0
71,Вінниця,2,78.0,775000.0
72,Вінниця,3,100.0,1950000.0
73,Вінниця,1,37.0,625000.0
74,Вінниця,1,43.0,650000.0
75,Вінниця,2,50.0,1050000.0
76,Вінниця,1,31.0,562500.0
77,Вінниця,1,24.0,375000.0
78,Вінниця,3,53.0,625000.0
79,Вінниця,2,64.0,1050000.0
80,Вінниця,1,33.5,387500.0
81,Вінниця,3,100.0,2000000.0
82,Вінниця,2,50.0,747500.0
83,Вінниця,2,48.0,575000.0
84,Вінниця,2,55.0,620000.0
85,Вінниця,4,64.0,775000.0
86,Вінниця,1,30.0,450000.0
87,Вінниця,1,58.2,725000.0
88,Вінниця,1,54.5,682500.0
89,Вінниця,2,68.0,750000.0
90,Вінниця,3,64.0,987500.0
91,Вінниця,3,63.0,936250.0
92,Вінниця,4,92.0,1072500.0
93,Вінниця,1,30.0,712500.0
94,Вінниця,2,85.7,1200000.0
95,Вінниця,2,77.2,675000.0
96,Вінниця,4,70.0,1625000.0
97,Вінниця,3,90.0,4000000.0
98,Вінниця,2,45.0,675000.0
99,Вінниця,2,70.0,800000.0
100,Вінниця,1,42.0,850000.0
101,Вінниця,1,50.0,850000.0
102,Вінниця,2,75.0,1150000.0
103,Вінниця,1,48.0,825000.0
104,Вінниця,1,42.0,675000.0
105,Вінниця,1,14.0,262500.0
106,Вінниця,3,64.0,1125000.0
107,Вінниця,3,64.0,975000.0
108,Вінниця,1,34.0,487500.0
109,Вінниця,1,42.0,625000.0
110,Вінниця,2,60.0,825000.0
111,Вінниця,2,60.0,800000.0
112,Вінниця,1,55.0,662500.0
113,Вінниця,1,34.0,550000.0
114,Вінниця,1,50.0,1037500.0
115,Вінниця,2,60.0,825000.0
116,Вінниця,1,43.0,480000.0
117,Вінниця,3,64.0,1025000.0
118,Вінниця,1,32.0,437500.0
119,Вінниця,1,30.0,410000.0
120,Вінниця,2,65.3,712500.0
121,Вінниця,1,46.0,775000.0
122,Вінниця,2,46.0,747500.0
123,Вінниця,3,60.0,775000.0
124,Вінниця,1,35.0,457500.0
125,Вінниця,1,34.0,512500.0
126,Вінниця,2,54.0,900000.0
127,Вінниця,1,60.0,537500.0
128,Вінниця,2,42.0,837500.0
129,Вінниця,3,102.0,1575000.0
130,Вінниця,3,80.0,1700000.0
131,Вінниця,1,42.0,950000.0
132,Вінниця,1,40.0,900000.0
133,Вінниця,2,77.0,1625000.0
134,Вінниця,2,70.0,1225000.0
135,Вінниця,3,62.0,850000.0
136,Вінниця,2,58.0,1100000.0
137,Вінниця,2,74.0,1875000.0
138,Вінниця,2,64.0,948750.0
139,Вінниця,1,42.0,512500.0
140,Вінниця,1,45.5,625000.0
141,Вінниця,3,87.0,1947500.0
142,Вінниця,2,44.0,650000.0
143,Вінниця,1,42.0,675000.0
144,Вінниця,1,32.0,437500.0
145,Вінниця,1,41.0,625000.0
146,Вінниця,3,64.0,825000.0
147,Вінниця,2,50.0,1125000.0
148,Вінниця,1,48.0,800000.0
149,Вінниця,1,43.0,850000.0
150,Вінниця,3,100.0,2575000.0
151,Вінниця,1,30.0,537500.0
152,Вінниця,2,50.8,825000.0
153,Вінниця,3,90.0,1800000.0
154,Вінниця,1,32.0,575000.0
155,Вінниця,1,47.0,522500.0
156,Вінниця,2,50.0,687500.0
157,Вінниця,2,50.0,750000.0
158,Вінниця,1,42.0,612500.0
159,Вінниця,1,35.0,462475.0
160,Вінниця,3,68.0,1050000.0
161,Вінниця,1,36.5,425000.0
162,Вінниця,3,64.0,825000.0
